,Time,Depth,Distance,Root Mean Square,Azimuthal Gap,Magnitude,Waveform
0,1293838868610,2.333,0.03063,0.0,189.0,0.39,md
1,1293837956700,10.806,0.04028,0.08,110.0,0.56,ml
2,1293837843700,3.48,0.01968,0.12,133.0,1.05,ml
3,1293837392640,6.976,0.02714,0.05,132.0,0.36,ml
4,1293837325030,-0.584,0.01351,0.03,115.0,0.38,md
5,1293837133190,10.503,0.09168,0.1,216.0,1.53,ml
6,1293836696780,12.865,0.03389,0.14,35.0,1.93,ml
7,1293836616650,3.474,0.01261,0.06,91.0,0.55,md
8,1293836600510,0.474,0.01081,0.06,39.0,0.82,md
9,1293833755930,12.847,0.05966,0.08,108.0,0.63,ml
10,1293832636660,3.792,0.02793,0.01,294.0,0.43,md
11,1293830239840,3.101,0.1288,0.02,138.0,0.79,md
12,1293829314280,9.821,0.1045,0.11,106.0,0.95,md
13,1293829118880,1.669,0.009009,0.05,183.0,0.42,md
14,1293827813200,10.286,0.02342,0.17,65.0,1.16,md
15,1293827438130,3.961,0.1505,0.25,163.0,1.19,ml
16,1293824441580,2.309,0.01892,0.07,72.0,0.85,md
17,1293823449941,15.0,0.301,0.1691,323.34,1.1,ml
18,1293823220700,6.953,0.07207,0.19,95.0,2.39,md
19,1293822937710,0.53,0.006306,0.03,115.0,0.75,md
20,1293822789469,8.2,0.217,0.127,132.91,0.4,ml
21,1293822789300,7.801,0.02793,0.07,32.0,1.86,md
22,1293822599190,17.028,0.03746,0.13,180.0,0.79,ml
23,1293822576610,2.914,0.003604,0.06,65.0,0.42,md
24,1293822328420,14.002,0.05045,0.02,176.0,1.18,md
25,1293821499940,1.674,0.00991,0.04,60.0,0.89,md
26,1293820873740,14.97,0.02642,0.1,106.0,0.88,ml
27,1293820870560,14.3,0.03291,0.07,141.0,0.25,ml
28,1293820833000,14.657,0.03229,0.12,62.0,1.47,ml
29,1293819789320,2.761,0.008108,0.03,66.0,0.39,md
30,1293819211260,8.082,0.02228,0.15,87.0,1.35,ml
31,1293818644860,6.984,0.09994,0.06,123.0,1.21,ml
32,1293817998300,4.931,0.1126,0.03,138.0,0.85,md
33,1293815652440,0.694,0.002703,0.06,49.0,0.23,md
34,1293815190830,10.051,0.1069,0.13,141.0,1.31,ml
35,1293809934820,10.744,0.08198,0.16,90.0,1.79,md
36,1293808281411,4.3,0.426,0.1495,238.21,1.9,ml
37,1293805956400,1.173,0.007207,0.03,84.0,0.43,md
38,1293805234460,0.564,0.009009,0.06,69.0,0.93,md
39,1293804108570,2.082,0.007207,0.02,175.0,0.47,md
40,1293799906770,1.84,0.04865,0.06,138.0,0.55,md
