,Predicted_Waveform,Waveform,Index,Match,Magnitude,Depth,Distance to Epicenter,Azimuthal Gap,Root Mean Square
0,md,ml,0,False,0.39,2.333,0.03063,189.0,0.0
1,md,md,1,True,0.56,10.806,0.04028,110.0,0.08
2,md,md,2,True,1.05,3.48,0.01968,133.0,0.12
3,md,ml,3,False,0.36,6.976,0.027139999999999997,132.0,0.05
4,md,md,4,True,0.38,0.584,0.01351,115.0,0.03
5,md,ml,5,False,1.53,10.503,0.09168,216.0,0.1
6,md,ml,6,False,1.93,12.865,0.033889999999999997,35.0,0.14
7,md,md,7,True,0.55,3.4739999999999998,0.01261,91.0,0.06
8,md,ml,8,False,0.82,0.474,0.01081,39.0,0.06
9,md,ml,9,False,0.63,12.847000000000001,0.059660000000000005,108.0,0.08
10,md,md,10,True,0.43,3.792,0.02793,294.0,0.01
11,md,md,11,True,0.79,3.1010000000000004,0.1288,138.0,0.02
12,md,ml,12,False,0.95,9.821,0.1045,106.0,0.11
13,md,md,13,True,0.42,1.669,0.009009,183.0,0.05
14,md,md,14,True,1.16,10.286,0.02342,65.0,0.17
15,md,md,15,True,1.19,3.9610000000000003,0.1505,163.0,0.25
16,md,md,16,True,0.85,2.309,0.01892,72.0,0.07
17,md,ml,17,False,1.1,15.0,0.301,323.34,0.1691
18,md,ml,18,False,2.39,6.952999999999999,0.07207000000000001,95.0,0.19
19,md,md,19,True,0.75,0.53,0.006306,115.0,0.03
20,md,md,20,True,0.4,8.2,0.217,132.91,0.127
21,md,ml,21,False,1.86,7.801,0.02793,32.0,0.07
22,md,md,22,True,0.79,17.028,0.03746,180.0,0.13
23,md,ml,23,False,0.42,2.9139999999999997,0.003604,65.0,0.06
24,md,ml,24,False,1.18,14.002,0.05045,176.0,0.02
25,md,md,25,True,0.89,1.6740000000000002,0.009909999999999999,60.0,0.04
26,md,md,26,True,0.88,14.97,0.02642,106.0,0.1
27,md,md,27,True,0.25,14.3,0.03291,141.0,0.07
28,md,md,28,True,1.47,14.657,0.03229,62.0,0.12
29,md,md,29,True,0.39,2.761,0.008108,66.0,0.03
30,md,ml,30,False,1.35,8.082,0.02228,87.0,0.15
31,md,md,31,True,1.21,6.984,0.09994,123.0,0.06
32,md,md,32,True,0.85,4.931,0.1126,138.0,0.03
33,md,md,33,True,0.23,0.6940000000000001,0.002703,49.0,0.06
34,md,md,34,True,1.31,10.051,0.1069,141.0,0.13
35,md,md,35,True,1.79,10.744000000000002,0.08198,90.0,0.16
36,md,md,36,True,1.9,4.3,0.426,238.21,0.1495
37,md,ml,37,False,0.43,1.173,0.007206999999999999,84.0,0.03
38,md,md,38,True,0.93,0.564,0.009009,69.0,0.06
39,md,ml,39,False,0.47,2.082,0.007206999999999999,175.0,0.02
40,md,ml,40,False,0.55,1.84,0.04865,138.0,0.06
41,md,md,41,True,0.28,1.443,0.03609,120.0,0.15
42,md,md,42,True,2.06,2.6660000000000004,0.005405,35.0,0.06
43,md,ml,43,False,0.37,1.0659999999999998,0.01441,136.0,0.05
44,md,md,44,True,0.48,0.68,0.009009,71.0,0.06
45,md,md,45,True,1.0,12.1,0.311,345.95,0.0271
46,md,mh,46,False,0.14,2.307,0.025509999999999998,196.0,0.07
47,md,md,47,True,0.19,1.1,0.01261,119.0,0.03
48,md,md,48,True,0.7,3.7430000000000003,0.0059759999999999995,105.0,0.06
49,md,md,49,True,0.28,1.84,0.007206999999999999,103.0,0.01
50,md,md,50,True,1.86,10.549000000000001,0.042339999999999996,87.0,0.05
51,md,ml,51,False,0.28,0.57,0.009909999999999999,99.0,0.03
52,md,md,52,True,0.85,1.625,0.003604,68.0,0.05
53,md,md,53,True,0.43,0.604,0.005405,110.0,0.03
54,md,md,54,True,0.9,2.044,0.003604,76.0,0.04
55,md,md,55,True,0.57,1.9609999999999999,0.0045049999999999995,51.0,0.06
56,md,md,56,True,1.84,30.335,0.2234,227.0,0.18
57,md,md,57,True,1.0,0.0,0.524,297.22,0.1602
58,md,ml,58,False,1.7,12.4,0.11,159.94,0.1854
59,md,ml,59,False,2.6,0.0,0.544,317.29,0.6262
60,md,md,60,True,0.8,1.766,0.006306,112.0,0.07
61,md,md,61,True,0.14,0.326,0.024319999999999998,252.0,0.01
62,md,md,62,True,1.2,12.5,0.193,179.53,0.1639
63,md,md,63,True,0.48,2.786,0.005405,68.0,0.07
64,md,md,64,True,1.56,3.5439999999999996,0.2047,72.0,0.1
65,md,md,65,True,0.65,1.893,0.001802,212.0,0.02
66,md,ml,66,False,0.36,2.156,0.003604,58.0,0.06
67,md,mb,67,False,0.99,7.2170000000000005,0.04414,292.0,0.07
68,md,md,68,True,2.35,9.821,0.1107,67.0,0.17
69,md,ml,69,False,1.06,9.55,0.1052,147.0,0.13
70,md,md,70,True,0.68,1.311,0.01712,68.0,0.07
71,md,md,71,True,0.88,1.146,0.02613,179.0,0.01
72,md,md,72,True,1.75,1.4340000000000002,0.009909999999999999,37.0,0.07
73,md,md,73,True,1.5,15.3,0.498,300.32,0.0913
74,md,ml,74,False,0.58,3.2089999999999996,0.01712,209.0,0.02
75,md,md,75,True,0.85,1.27,0.006306,64.0,0.08
76,md,md,76,True,0.88,4.178999999999999,0.03694,139.0,0.02
77,md,md,77,True,2.22,7.446000000000001,0.042339999999999996,43.0,0.08
78,md,md,78,True,0.55,0.141,0.01081,127.0,0.04
79,md,md,79,True,0.68,10.269,0.011909999999999999,84.0,0.1
80,md,ml,80,False,1.41,10.35,0.109,125.0,0.17
81,md,md,81,True,0.44,3.35,0.1033,145.0,0.06
82,md,md,82,True,1.89,2.485,0.209,89.0,0.16
83,md,mb,83,False,1.18,4.76,0.1159,135.0,0.14
84,md,ml,84,False,0.52,2.406,0.019819999999999997,184.0,0.05
85,md,md,85,True,1.21,1.239,0.1813,127.0,0.09
86,md,ml,86,False,0.55,0.237,0.01441,78.0,0.06
87,md,md,87,True,0.5,8.0,0.061,101.7,0.1284
88,md,md,88,True,0.7,3.407,0.042339999999999996,161.0,0.02
89,md,md,89,True,0.38,0.847,0.015319999999999999,116.0,0.07
90,md,md,90,True,0.92,0.5670000000000001,0.01351,72.0,0.06
91,md,ml,91,False,0.59,6.974,0.06306,160.0,0.11
92,md,md,92,True,0.51,1.858,0.01441,82.0,0.06
93,md,md,93,True,1.76,1.544,0.0045049999999999995,34.0,0.06
94,md,ml,94,False,1.3,9.5,0.175,251.29,0.1164
95,md,md,95,True,0.57,1.695,0.003604,58.0,0.05
96,md,md,96,True,0.82,1.469,0.005405,45.0,0.04
97,md,md,97,True,0.86,1.6280000000000001,0.006306,109.0,0.04
98,md,md,98,True,0.56,0.904,0.009909999999999999,124.0,0.03
99,md,md,99,True,1.37,9.097999999999999,0.1166,111.0,0.17
100,md,ml,100,False,0.51,3.361,0.009909999999999999,158.0,0.04
101,md,md,101,True,0.89,3.307,0.009009,76.0,0.04
102,md,md,102,True,0.69,15.189,0.01821,110.0,0.09
103,md,ml,103,False,1.85,1.444,0.006306,36.0,0.06
104,md,md,104,True,0.94,2.53,0.08756,108.0,0.14
105,md,md,105,True,0.16,0.7440000000000001,0.006306,48.0,0.04
106,md,ml,106,False,0.99,4.913,0.2708,278.0,0.04
107,md,ml,107,False,0.56,3.699,0.01081,155.0,0.04
108,md,ml,108,False,0.66,3.138,0.01351,92.0,0.03
109,md,mh,109,False,0.55,2.88,0.01261,90.0,0.03
110,md,mh,110,False,1.67,7.087000000000001,0.034230000000000003,51.0,0.06
111,md,md,111,True,0.51,2.042,0.02072,118.0,0.04
112,md,md,112,True,1.16,5.267,0.09418,92.0,0.09
113,md,md,113,True,1.86,7.781000000000001,0.1125,65.0,0.2
114,md,ml,114,False,0.43,0.705,0.009009,66.0,0.06
115,md,ml,115,False,0.54,6.077999999999999,0.01441,54.0,0.1
116,md,mh,116,False,1.06,2.303,0.002703,62.0,0.07
117,md,ml,117,False,1.09,11.708,0.06305,71.0,0.13
118,md,md,118,True,0.07,4.603,0.01171,197.0,0.03
119,md,ml,119,False,2.09,0.835,0.008108,45.0,0.07
120,md,ml,120,False,0.51,2.5839999999999996,0.01171,163.0,0.03
121,md,ml,121,False,1.21,7.905,0.0696,79.0,0.16
122,md,ml,122,False,1.45,11.274000000000001,0.09279,195.0,0.16
123,md,ml,123,False,0.43,0.9390000000000001,0.01081,73.0,0.01
124,md,ml,124,False,0.4,4.257,0.02529,218.0,0.19
125,md,mh,125,False,0.57,0.815,0.02342,167.0,0.02
126,md,mh,126,False,0.69,0.243,0.02445,78.0,0.07
127,md,md,127,True,3.8,4.394,0.1146,56.0,0.19
128,md,ml,128,False,0.62,0.635,0.009009,59.0,0.05
129,md,mh,129,False,1.01,15.835999999999999,0.02077,110.0,0.13
130,md,mh,130,False,1.33,2.352,0.007206999999999999,50.0,0.07
131,md,ml,131,False,0.81,1.806,0.01261,109.0,0.07
132,md,mh,132,False,0.49,2.1919999999999997,0.005405,208.0,0.03
133,md,ml,133,False,0.96,1.926,0.0045049999999999995,86.0,0.01
134,md,ml,134,False,0.88,0.28,0.009009,157.0,0.04
135,md,ml,135,False,1.32,1.296,0.01441,70.0,0.06
136,md,mh,136,False,1.28,1.5930000000000002,0.01171,54.0,0.06
137,md,mh,137,False,1.48,2.24,0.009909999999999999,80.0,0.07
138,md,ml,138,False,1.32,1.8019999999999998,0.009909999999999999,78.0,0.07
139,md,ml,139,False,0.46,1.254,0.008108,63.0,0.06
140,md,mh,140,False,0.56,1.439,0.009009,108.0,0.09
141,md,ml,141,False,1.63,1.92,0.014969999999999999,71.0,0.16
142,md,md,142,True,1.1,18.3,0.262,293.13,0.1655
143,md,ml,143,False,1.3,0.4,0.523,240.36,0.2223
144,md,md,144,True,0.43,2.411,0.01351,175.0,0.02
145,md,md,145,True,1.75,2.9,0.04054,84.0,0.09
146,md,md,146,True,0.49,2.929,0.007206999999999999,74.0,0.05
147,md,md,147,True,1.56,1.431,0.1352,67.0,0.04
148,md,ml,148,False,1.65,0.84,0.1205,64.0,0.18
149,md,md,149,True,0.87,2.456,0.0145,75.0,0.1
150,md,md,150,True,0.91,6.987,0.04324,67.0,0.04
151,md,md,151,True,2.11,7.026,0.04324,51.0,0.08
152,md,ml,152,False,0.7,8.7,0.239,159.29,0.0872
153,md,md,153,True,0.53,0.215,0.009009,166.0,0.02
154,md,md,154,True,1.0,6.1,0.11900000000000001,156.33,0.0485
155,md,md,155,True,1.2,9.3,0.191,177.8,0.1157
156,md,md,156,True,1.18,1.067,0.002703,32.0,0.09
157,md,ml,157,False,0.5,2.946,0.05631,185.0,0.06
