County Name,Total Damaging Events,Rate of Damaging Events,Frequency of Section,Area of Section,Recurrence Interval,Probability,Latitude,Longitude,Radius
Alameda_County,0.0,0.0,0.0,1912.0,0.0,0.0,37.804829999999995,-122.27248,1912
Alpine_County,0.0,0.0,0.0,1914.0,0.0,0.0,38.69356,-119.77775600000001,1914
Amador_County,0.0,0.0,0.0,1570.0,0.0,0.0,38.44585,-120.65243999999998,1570
Butte_County,0.0,0.0,0.0,4248.0,0.0,0.0,39.51234,-121.55461000000001,4248
Calaveras_County,0.0,0.0,0.0,2642.0,0.0,0.0,38.196213,-120.68092,2642
Colusa_County,0.0,0.0,0.0,2981.0,0.0,0.0,39.209236,-122.00837,2981
Contra_Costa_County,1.0,0.1111111111111111,0.1111111111111111,1865.0,9.0,3.086742324903368e-05,38.018993,-122.13486,1865
Del_Norte_County,0.0,0.0,0.0,2611.0,0.0,0.0,41.754771999999996,-124.20438,2611
El_Dorado_County,0.0,0.0,0.0,4434.0,0.0,0.0,38.729652,-120.79915,4434
Fresno_County,1.0,0.1111111111111111,0.1111111111111111,15444.0,9.0,3.086742324903368e-05,36.731654999999996,-119.78586000000001,15444
Glen_County,1.0,0.1111111111111111,0.1111111111111111,3406.0,9.0,3.086742324903368e-05,39.5984,-122.39216,3406
Humboldt_County,4.0,0.4444444444444444,1.7777777777777777,9254.0,0.5625,0.00014363514609428768,40.70412,-123.91461000000001,9254
Imperial_County,11.0,1.2222222222222223,13.444444444444445,10814.0,0.07438016528925619,7.47138318918668e-05,32.792854,-115.56555,10814
Inyo_County,1.0,0.1111111111111111,0.1111111111111111,26400.0,9.0,3.086742324903368e-05,36.80252,-118.19967,26400
Kern_County,0.0,0.0,0.0,21088.0,0.0,0.0,35.373405,-119.01891,21088
Kings_County,0.0,0.0,0.0,2600.0,0.0,0.0,36.327723999999996,-119.64591000000001,2600
LA_County,1.0,0.1111111111111111,0.1111111111111111,10500.0,9.0,3.086742324903368e-05,34.052240000000005,-118.24335,10500
Lake_County,0.0,0.0,0.0,3258.0,0.0,0.0,39.04317,122.91516999999999,3258
Lassen_County,1.0,0.1111111111111111,0.1111111111111111,11804.0,9.0,3.086742324903368e-05,40.415490000000005,-120.64895,11804
Madera_County,0.0,0.0,0.0,5500.0,0.0,0.0,37.21808,-119.7626,5500
Marin_County,1.0,0.1111111111111111,0.1111111111111111,1346.0,9.0,3.086742324903368e-05,37.99868,-122.52986000000001,1346
Maripossa_County,0.0,0.0,0.0,3758.0,0.0,0.0,37.484276,-119.96478,3758
Mendocino_County,2.0,0.2222222222222222,0.4444444444444444,9088.0,2.25,0.0013966629168300508,39.149998,-123.20763400000001,9088
Merced_County,0.0,0.0,0.0,4996.0,0.0,0.0,37.30697,-120.48196999999999,4996
Modoc_County,0.0,0.0,0.0,10214.0,0.0,0.0,41.58984,-120.72495,10214
Mono_County,3.0,0.3333333333333333,1.0,7884.0,1.0,0.00021382402673161428,38.255787,-119.2289,7884
Monterrey_County,1.0,0.1111111111111111,0.1111111111111111,8604.0,9.0,3.086742324903368e-05,36.22157,-121.28983999999998,8604
Napa_County,1.0,0.1111111111111111,0.1111111111111111,1952.0,9.0,3.086742324903368e-05,38.5066,-122.33051999999999,1952
Nevada_County,0.0,0.0,0.0,2480.0,0.0,0.0,39.262783,-121.01945500000001,2480
Orange_County,1.0,0.1111111111111111,0.1111111111111111,2456.0,9.0,3.086742324903368e-05,33.79149,-117.853096,2456
Placer_County,0.0,0.0,0.0,3644.0,0.0,0.0,38.897915000000005,-121.07431000000001,3644
Plumas_County,1.0,0.1111111111111111,0.1111111111111111,6614.0,9.0,3.086742324903368e-05,39.936752,-120.94896000000001,6614
Riverside_County,3.0,0.3333333333333333,1.0,18670.0,1.0,0.00021382402673161428,33.980534000000006,-117.37702,18670
Sacramento_County,0.0,0.0,0.0,2502.0,0.0,0.0,38.576935,-121.49495,2502
San_Benito_County,1.0,0.1111111111111111,0.1111111111111111,3598.0,9.0,3.086742324903368e-05,36.60567,-121.07498000000001,3598
San_Bernardino_County,7.0,0.7777777777777778,5.4444444444444455,51960.0,0.18367346938775508,9.57474614399202e-05,34.108321999999994,-117.29415,51960
San_Diego_County,2.0,0.2222222222222222,0.4444444444444444,10888.0,2.25,0.0013966629168300508,32.715759999999996,-117.16382,10888
San_Fransico_County,0.0,0.0,0.0,122.0,0.0,0.0,37.77986,-122.42905,122
San_Joaquin_County,0.0,0.0,0.0,3624.0,0.0,0.0,37.957542,-121.29245,3624
San_Luis_Obisbo_County,0.0,0.0,0.0,2950.0,0.0,0.0,35.28262,-120.66001000000001,2950
San_Mateo_County,0.0,0.0,0.0,1162.0,0.0,0.0,37.48478,-122.22815,1162
Santa_Barbara_County,1.0,0.1111111111111111,0.1111111111111111,7090.0,9.0,3.086742324903368e-05,34.420868,-119.69833999999999,7090
Santa_Clara_County,0.0,0.0,0.0,3334.0,0.0,0.0,37.334793,-121.888145,3334
Santa_Cruz_County,0.0,0.0,0.0,1154.0,0.0,0.0,36.974140000000006,-122.0288,1154
Shasta_County,0.0,0.0,0.0,9806.0,0.0,0.0,40.76377,-122.04053,9806
Sierra_County,0.0,0.0,0.0,2468.0,0.0,0.0,39.560383,-120.82808999999999,2468
Siskiyo_County,1.0,0.1111111111111111,0.1111111111111111,16282.0,9.0,3.086742324903368e-05,41.731583,-122.63565,16282
Solano_County,1.0,0.1111111111111111,0.1111111111111111,3544.0,9.0,3.086742324903368e-05,38.26709,-121.94,3544
Sonoma_County,2.0,0.2222222222222222,0.4444444444444444,4082.0,2.25,0.0013966629168300508,38.439696999999995,-122.715645,4082
Stanislaus_County,0.0,0.0,0.0,3872.0,0.0,0.0,37.55919,-120.99768,3872
Sutter_County,0.0,0.0,0.0,1562.0,0.0,0.0,39.132220000000004,-121.62514499999999,1562
Tehama_County,0.0,0.0,0.0,7242.0,0.0,0.0,40.176605,-122.234146,7242
Trinity_County,1.0,0.1111111111111111,0.1111111111111111,8234.0,9.0,3.086742324903368e-05,40.732758000000004,-122.94051,8234
Tulare_County,0.0,0.0,0.0,12494.0,0.0,0.0,36.33012,-119.29888000000001,12494
Tuolumne_County,0.0,0.0,0.0,5790.0,0.0,0.0,37.982944,-120.38212,5790
Ventura_County,0.0,0.0,0.0,4780.0,0.0,0.0,34.40175,-119.12716999999999,4780
Yolo_County,0.0,0.0,0.0,2620.0,0.0,0.0,38.677494,-121.77471000000001,2620
Yuba_County,0.0,0.0,0.0,1632.0,0.0,0.0,39.141552000000004,-121.58768500000001,1632
